name,latitude,longitude
ACEH,4.695135,96.7493993
SUMATERA UTARA,2.1153547,99.5450974
SUMATERA BARAT,-0.7399397,100.8000051
RIAU,0.2933469,101.7068294
JAMBI,-1.4851831,102.4380581
SUMATERA SELATAN,-3.3194374,103.914399
BENGKULU,-3.5778471,102.3463875
LAMPUNG,-4.5585849,105.4068079
KEPULAUAN BANGKA BELITUNG,-2.7410513,106.4405872
KEPULAUAN RIAU,3.9456514,108.1428669
DKI JAKARTA,-6.211544,106.845172
JAWA BARAT,-7.090911,107.668887
JAWA TENGAH,-7.150975,110.1402594
DI YOGYAKARTA,-7.8753849,110.4262088
JAWA TIMUR,-7.5360639,112.2384017
BANTEN,-6.4058172,106.0640179
BALI,-8.4095178,115.188916
NUSA TENGGARA BARAT,-8.6529334,117.3616476
NUSA TENGGARA TIMUR,-8.6573819,121.0793705
KALIMANTAN BARAT,-0.2787808,111.4752851
KALIMANTAN TENGAH,-1.6814878,113.3823545
KALIMANTAN SELATAN,-3.0926415,115.2837585
KALIMANTAN TIMUR,1.6406296,116.419389
SULAWESI UTARA,0.6246932,123.9750018
SULAWESI TENGAH,-1.4300254,121.4456179
SULAWESI SELATAN,-3.6687994,119.9740534
SULAWESI TENGGARA,-4.14491,122.174605
GORONTALO,0.6999372,122.4467238
SULAWESI BARAT,-2.8441371,119.2320784
MALUKU,-3.2384616,130.1452734
MALUKU UTARA,1.5709993,127.8087693
PAPUA BARAT,-1.3361154,133.1747162
PAPUA,-4.269928,138.0803529
KOTA TANGERANG SELATAN,-6.2888889,106.7180556
BANYUWANGI,-8.2186111,114.3669444
MADIUN,-7.627753,111.505483
PONOROGO,-7.867827,111.466003
MAGETAN,-7.6493413,111.3381593
PACITAN,-8.204614,111.08769
NGAWI,-7.38993,111.46193
BANGKALAN,-7.0306912,112.7450068
KEDIRI,-7.809356,112.032356
BONDOWOSO,-7.917704,113.813483
BLITAR,-8.1014419,112.162762
TRENGGALEK,-8.05,111.7166667
TULUNGAGUNG,-8.0666667,111.9
NGANJUK,-7.602932,111.901808
SITUBONDO,-7.702534,113.955605
MALANG,-8.0495643,112.6884549
JEMBER,-8.172357,113.700302
SUMENEP,-6.9253999,113.9060624
PASURUAN,-6.8623098,108.8001936
PAMEKASAN,-7.1666667,113.4666667
PROBOLINGGO,-7.753965,113.210675
LUMAJANG,-8.137022,113.226601
BOJONEGORO,0.882681,124.4669566
TUBAN,-8.7493146,115.1711298
LAMONGAN,-7.406153,109.3946794
SIDOARJO,-7.4530278,112.7173389
SAMPANG,-7.5782556,109.2058436
MOJOKERTO,-7.488075,112.427027
GRESIK,-7.15665,112.6555
JOMBANG,-7.5468395,112.2264794
KOTA MOJOKERTO,-7.4722222,112.4336111
KOTA SURABAYA,-7.289166,112.734398
KOTA MADIUN,-7.629714,111.513702
KOTA BLITAR,-8.1,112.15
KOTA MALANG,-7.981894,112.626503
KOTA BATU,-7.8671,112.5239
KOTA PASURUAN,-7.644872,112.903297
KOTA KEDIRI,-7.816895,112.011398
KOTA PROBOLINGGO,-7.756928,113.211502
BATANGHARI,-1.7083922,103.0817903
BUNGO,-1.6401338,101.8891721
KERINCI,-1.8720467,101.4339148
MERANGIN,-2.1752789,101.9804613
MUARO JAMBI,-1.596672,103.615799
SAROLANGUN,-2.2654937,102.6905326
TANJUNG JABUNG BARAT,-1.2332122,103.7984428
TANJUNG JABUNG TIMUR,-1.3291599,103.89973
TEBO,-1.2592999,102.3463875
KOTA JAMBI,-1.596672,103.615799
KOTA SUNGAI PENUH,-2.06314,101.387199
SIMEULUE,2.583333,96.083333
ACEH SINGKIL,2.3589459,97.87216
ACEH SELATAN,3.3115056,97.3516558
ACEH TENGGARA,3.3088666,97.6982272
ACEH TIMUR,5.255443,95.9885456
ACEH TENGAH,4.4482641,96.8350999
